,City,Rank,Cost of a bottle of water(City),Outdoor activities(City),Cost of a monthly gym membership(City)
0,Amsterdam,1,1.92,422,34.90
1,Sydney,2,1.48,406,41.66
2,Vienna,3,1.94,132,25.74
3,Stockholm,4,1.72,129,37.31
4,Copenhagen,5,2.19,154,32.53
5,Helsinki,6,1.60,113,35.23
6,Fukuoka,7,0.78,35,55.87
7,Berlin,8,1.55,254,26.11
8,Barcelona,9,1.19,585,37.80
9,Vancouver,10,1.08,218,31.04
10,Melbourne,11,1.57,243,36.89
11,Beijing,12,0.26,223,38.62
12,Bangkok,13,0.22,377,50.03
13,Buenos Aires,14,0.57,246,22.45
14,Toronto,15,1.09,174,32.64
15,Madrid,16,1.30,216,34.54
16,Jakarta,17,0.21,114,29.94
17,Seoul,18,0.59,144,43.03
18,Frankfurt,19,1.95,23,39.01
19,Geneva,20,2.62,44,70.00
20,Tel Aviv,21,1.63,139,58.31
21,Istanbul,22,0.15,419,16.97
22,Cairo,23,0.16,323,23.25
23,Taipei,24,0.57,134,34.76
24,Los Angeles,25,1.52,223,32.00
25,Mumbai,26,0.15,187,19.54
26,Boston,27,1.39,88,46.27
27,Dublin,28,1.40,159,37.35
28,Tokyo,29,0.76,387,70.82
29,Chicago,30,1.20,171,41.14
30,Hong Kong,31,0.75,277,57.95
31,Shanghai,32,0.29,108,44.68
32,Brussels,33,2.11,55,25.34
33,San Francisco,34,1.60,242,65.13
34,Paris,35,1.95,331,35.93
35,Sao Paulo,36,0.44,158,16.07
36,Zurich,37,3.20,69,73.11
37,London,38,1.16,433,42.71
38,Johannesburg,39,0.59,194,24.28
39,Milan,40,1.15,110,53.49
40,"Washington, D.C.",41,1.45,83,65.99
41,New York,42,1.32,359,64.66
42,Moscow,43,0.41,322,31.40
43,Mexico City,44,0.45,192,41.99
